PITS_MatchName,Sample name,Site_sample,Site
FITS_SBS1.PITSFITS.16.S16.L001,FITS_SBS1.PITSFITS.16.S16.L001,FO_1,Fort_Ord
FITS_SBS1.PITSFITS.9.S9.L001,FITS_SBS1.PITSFITS.9.S9.L001,FO_1,Fort_Ord
FITS_SBS2.FITS.1.S170.L001,FITS_SBS2.FITS.1.S170.L001,FO_2,Fort_Ord
FITS_SBS2.FITS.17.S178.L001,FITS_SBS2.FITS.17.S178.L001,FO_2,Fort_Ord
FITS_SBS2.FITS.18.S179.L001,FITS_SBS2.FITS.18.S179.L001,FO_2,Fort_Ord
FITS_SBS2.FITS.19.S180.L001,FITS_SBS2.FITS.19.S180.L001,FO_2,Fort_Ord
FITS_SBS2.FITS.2.S171.L001,FITS_SBS2.FITS.2.S171.L001,FO_2,Fort_Ord
FITS_SBS2.FITS.20.S181.L001,FITS_SBS2.FITS.20.S181.L001,FO_2,Fort_Ord
FITS_SBS2.FITS.21.S182.L001,FITS_SBS2.FITS.21.S182.L001,FO_2,Fort_Ord
FITS_SBS2.FITS.22.S183.L001,FITS_SBS2.FITS.22.S183.L001,FO_2,Fort_Ord
FITS_SBS2.FITS.23.S184.L001,FITS_SBS2.FITS.23.S184.L001,FO_2,Fort_Ord
FITS_SBS2.FITS.24.S185.L001,FITS_SBS2.FITS.24.S185.L001,FO_2,Fort_Ord
FITS_SBS2.FITS.3.S172.L001,FITS_SBS2.FITS.3.S172.L001,FO_2,Fort_Ord
FITS_SBS2.FITS.4.S173.L001,FITS_SBS2.FITS.4.S173.L001,FO_2,Fort_Ord
FITS_SBS2.FITS.5.S174.L001,FITS_SBS2.FITS.5.S174.L001,FO_2,Fort_Ord
FITS_SBS2.FITS.6.S175.L001,FITS_SBS2.FITS.6.S175.L001,FO_2,Fort_Ord
FITS_SBS2.FITS.7.S176.L001,FITS_SBS2.FITS.7.S176.L001,FO_2,Fort_Ord
FITS_SBS2.FITS.8.S177.L001,FITS_SBS2.FITS.8.S177.L001,FO_2,Fort_Ord
FITS_SBS2.PITSFITS.10.S34.L001,FITS_SBS2.PITSFITS.10.S34.L001,FO_2,Fort_Ord
FITS_SBS2.PITSFITS.11.S35.L001,FITS_SBS2.PITSFITS.11.S35.L001,FO_2,Fort_Ord
FITS_SBS2.PITSFITS.12.S36.L001,FITS_SBS2.PITSFITS.12.S36.L001,FO_2,Fort_Ord
FITS_SBS2.PITSFITS.13.S37.L001,FITS_SBS2.PITSFITS.13.S37.L001,FO_2,Fort_Ord
FITS_SBS2.PITSFITS.14.S38.L001,FITS_SBS2.PITSFITS.14.S38.L001,FO_2,Fort_Ord
FITS_SBS2.PITSFITS.15.S39.L001,FITS_SBS2.PITSFITS.15.S39.L001,FO_2,Fort_Ord
FITS_SBS2.PITSFITS.16.S40.L001,FITS_SBS2.PITSFITS.16.S40.L001,FO_2,Fort_Ord
FITS_SBS2.PITSFITS.9.S33.L001,FITS_SBS2.PITSFITS.9.S33.L001,FO_2,Fort_Ord
FITS_SBS3.FITS.1.S186.L001,FITS_SBS3.FITS.1.S186.L001,YL_1,Younger_Lagoon
FITS_SBS3.FITS.17.S194.L001,FITS_SBS3.FITS.17.S194.L001,YL_1,Younger_Lagoon
FITS_SBS3.FITS.18.S195.L001,FITS_SBS3.FITS.18.S195.L001,YL_1,Younger_Lagoon
FITS_SBS3.FITS.19.S196.L001,FITS_SBS3.FITS.19.S196.L001,YL_1,Younger_Lagoon
FITS_SBS3.FITS.2.S187.L001,FITS_SBS3.FITS.2.S187.L001,YL_1,Younger_Lagoon
FITS_SBS3.FITS.20.S197.L001,FITS_SBS3.FITS.20.S197.L001,YL_1,Younger_Lagoon
FITS_SBS3.FITS.21.S198.L001,FITS_SBS3.FITS.21.S198.L001,YL_1,Younger_Lagoon
FITS_SBS3.FITS.22.S199.L001,FITS_SBS3.FITS.22.S199.L001,YL_1,Younger_Lagoon
FITS_SBS3.FITS.23.S200.L001,FITS_SBS3.FITS.23.S200.L001,YL_1,Younger_Lagoon
FITS_SBS3.FITS.24.S201.L001,FITS_SBS3.FITS.24.S201.L001,YL_1,Younger_Lagoon
FITS_SBS3.FITS.3.S188.L001,FITS_SBS3.FITS.3.S188.L001,YL_1,Younger_Lagoon
FITS_SBS3.FITS.4.S189.L001,FITS_SBS3.FITS.4.S189.L001,YL_1,Younger_Lagoon
FITS_SBS3.FITS.5.S190.L001,FITS_SBS3.FITS.5.S190.L001,YL_1,Younger_Lagoon
FITS_SBS3.FITS.6.S191.L001,FITS_SBS3.FITS.6.S191.L001,YL_1,Younger_Lagoon
FITS_SBS3.FITS.7.S192.L001,FITS_SBS3.FITS.7.S192.L001,YL_1,Younger_Lagoon
FITS_SBS3.FITS.8.S193.L001,FITS_SBS3.FITS.8.S193.L001,YL_1,Younger_Lagoon
FITS_SBS3.PITSFITS.10.S58.L001,FITS_SBS3.PITSFITS.10.S58.L001,YL_1,Younger_Lagoon
FITS_SBS3.PITSFITS.11.S59.L001,FITS_SBS3.PITSFITS.11.S59.L001,YL_1,Younger_Lagoon
FITS_SBS3.PITSFITS.12.S60.L001,FITS_SBS3.PITSFITS.12.S60.L001,YL_1,Younger_Lagoon
FITS_SBS3.PITSFITS.13.S61.L001,FITS_SBS3.PITSFITS.13.S61.L001,YL_1,Younger_Lagoon
FITS_SBS3.PITSFITS.14.S62.L001,FITS_SBS3.PITSFITS.14.S62.L001,YL_1,Younger_Lagoon
